customer_id,customer_name,segment,city,state,postal_code,region
AA-10315,Alex Avila,Consumer,Minneapolis,Minnesota,55407,Central
AA-10375,Allen Armold,Consumer,Mesa,Arizona,85204,West
AA-10480,Andrew Allen,Consumer,Concord,North Carolina,28027,South
AA-10645,Anna Andreadi,Consumer,Chester,Pennsylvania,19013,East
AB-10015,Aaron Bergman,Consumer,Seattle,Washington,98103,West
AB-10060,Adam Bellavance,Home Office,New York City,New York,10009,East
AB-10105,Adrian Barton,Consumer,Phoenix,Arizona,85023,West
AB-10150,Aimee Bixby,Consumer,Long Beach,New York,11561,East
AB-10165,Alan Barnes,Consumer,Los Angeles,California,90036,West
AB-10255,Alejandro Ballentine,Home Office,Lorain,Ohio,44052,East
AB-10600,Ann Blume,Corporate,Tucson,Arizona,85705,West
AC-10420,Alyssa Crouse,Corporate,San Francisco,California,94122,West
AC-10450,Amy Cox,Consumer,Minneapolis,Minnesota,55407,Central
AC-10615,Ann Chong,Corporate,New York City,New York,10009,East
AC-10660,Anna Chung,Consumer,Huntsville,Texas,77340,Central
AD-10180,Alan Dominguez,Home Office,Houston,Texas,77041,Central
AF-10870,Art Ferguson,Consumer,College Station,Texas,77840,Central
AF-10885,Art Foster,Consumer,Louisville,Kentucky,40214,South
AG-10270,Alejandro Grove,Consumer,West Jordan,Utah,84084,West
AG-10300,Aleksandra Gannaway,Corporate,Los Angeles,California,90049,West
AG-10330,Alex Grayson,Consumer,Stockton,California,95207,West
AG-10390,Allen Goldenen,Consumer,Cincinnati,Ohio,45231,East
AG-10495,Andrew Gjertsen,Corporate,Philadelphia,Pennsylvania,19140,East
AG-10525,Andy Gerbode,Corporate,Saint Petersburg,Florida,33710,South
AG-10675,Anna Gayman,Consumer,Houston,Texas,77036,Central
AG-10765,Anthony Garverick,Home Office,Philadelphia,Pennsylvania,19120,East
AG-10900,Arthur Gainer,Consumer,Tucson,Arizona,85705,West
AH-10030,Aaron Hawkins,Corporate,Philadelphia,Pennsylvania,19134,East
AH-10075,Adam Hart,Corporate,New York City,New York,10011,East
AH-10120,Adrian Hane,Home Office,Tucson,Arizona,85705,West
AH-10195,Alan Haines,Corporate,Tamarac,Florida,33319,South
AH-10210,Alan Hwang,Consumer,Brentwood,California,94513,West
AH-10465,Amy Hunt,Consumer,New York City,New York,10035,East
AH-10585,Angele Hood,Consumer,Chicago,Illinois,60623,Central
AH-10690,Anna Häberlin,Corporate,New York City,New York,10024,East
AI-10855,Arianne Irving,Consumer,Philadelphia,Pennsylvania,19120,East
AJ-10780,Anthony Jacobs,Corporate,Springfield,Virginia,22153,South
AJ-10795,Anthony Johnson,Corporate,Saint Petersburg,Florida,33710,South
AJ-10945,Ashley Jarboe,Consumer,Wilmington,North Carolina,28403,South
AJ-10960,Astrea Jones,Consumer,Rochester,New York,14609,East
AM-10360,Alice McCarthy,Corporate,Grand Prairie,Texas,75051,Central
AM-10705,Anne McFarland,Consumer,Auburn,Alabama,36830,South
AO-10810,Anthony O'Donnell,Corporate,Los Angeles,California,90045,West
AP-10720,Anne Pryor,Home Office,New York City,New York,10035,East
AP-10915,Arthur Prichep,Consumer,Palm Coast,Florida,32137,South
AR-10345,Alex Russell,Corporate,Lawrence,Massachusetts,1841,East
AR-10405,Allen Rosenblatt,Corporate,Franklin,Massachusetts,2038,East
AR-10510,Andrew Roberts,Consumer,Philadelphia,Pennsylvania,19134,East
AR-10540,Andy Reiter,Consumer,New York City,New York,10024,East
AR-10570,Anemone Ratner,Consumer,Columbus,Georgia,31907,South
AR-10825,Anthony Rawles,Corporate,Vancouver,Washington,98661,West
AS-10045,Aaron Smayling,Corporate,Jacksonville,North Carolina,28540,South
AS-10090,Adam Shillingsburg,Consumer,Charlottesville,Virginia,22901,South
AS-10135,Adrian Shami,Home Office,New York City,New York,10035,East
AS-10225,Alan Schoenberger,Corporate,New York City,New York,10024,East
AS-10240,Alan Shonely,Consumer,Tampa,Florida,33614,South
AS-10285,Alejandro Savely,Corporate,San Francisco,California,94109,West
AS-10630,Ann Steele,Home Office,Pasadena,Texas,77506,Central
AT-10435,Alyssa Tate,Home Office,Los Angeles,California,90004,West
AT-10735,Annie Thurman,Consumer,Seattle,Washington,98115,West
AW-10840,Anthony Witt,Consumer,Allen,Texas,75002,Central
AW-10930,Arthur Wiediger,Home Office,Aurora,Illinois,60505,Central
AY-10555,Andy Yotov,Corporate,Oceanside,California,92054,West
AZ-10750,Annie Zypern,Consumer,New York City,New York,10009,East
BB-10990,Barry Blumstein,Corporate,Inglewood,California,90301,West
BB-11545,Brenda Bowman,Corporate,Houston,Texas,77070,Central
BC-11125,Becky Castell,Home Office,Peoria,Arizona,85345,West
BD-11320,Bill Donatelli,Consumer,San Francisco,California,94110,West
BD-11500,Bradley Drucker,Consumer,Green Bay,Wisconsin,54302,Central
BD-11560,Brendan Dodson,Home Office,Fresno,California,93727,West
BD-11605,Brian Dahlen,Consumer,Lawrence,Massachusetts,1841,East
BD-11620,Brian DeCherney,Consumer,San Francisco,California,94122,West
BD-11635,Brian Derr,Consumer,Bowling Green,Kentucky,42104,South
BD-11725,Bruce Degenhardt,Consumer,Richmond,Kentucky,40475,South
BD-11770,Bryan Davis,Consumer,Houston,Texas,77070,Central
BE-11335,Bill Eplett,Home Office,Jackson,Michigan,49201,Central
BE-11410,Bobby Elias,Consumer,Lancaster,Ohio,43130,East
BE-11455,Brad Eason,Home Office,Olathe,Kansas,66062,Central
BF-10975,Barbara Fisher,Corporate,Charlotte,North Carolina,28205,South
BF-11005,Barry Franz,Home Office,Pasadena,California,91104,West
BF-11020,Barry Französisch,Corporate,Green Bay,Wisconsin,54302,Central
BF-11080,Bart Folk,Consumer,Baltimore,Maryland,21215,East
BF-11170,Ben Ferrer,Home Office,Los Angeles,California,90036,West
BF-11215,Benjamin Farhat,Home Office,Albuquerque,New Mexico,87105,West
BF-11275,Beth Fritzler,Corporate,Tucson,Arizona,85705,West
BG-11035,Barry Gonzalez,Consumer,Monroe,Louisiana,71203,South
BG-11695,Brooke Gillingham,Corporate,Cincinnati,Ohio,45231,East
BG-11740,Bruce Geld,Consumer,Philadelphia,Pennsylvania,19120,East
BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,90032,West
BK-11260,Berenike Kampe,Consumer,New York City,New York,10035,East
BM-11140,Becky Martin,Consumer,San Antonio,Texas,78207,Central
BM-11575,Brendan Murry,Corporate,New York City,New York,10035,East
BM-11650,Brian Moss,Corporate,New York City,New York,10035,East
BM-11785,Bryan Mills,Consumer,Columbus,Ohio,43229,East
BN-11470,Brad Norvell,Corporate,Cary,North Carolina,27511,South
BN-11515,Bradley Nguyen,Consumer,Los Angeles,California,90049,West
BO-11350,Bill Overfelt,Corporate,Los Angeles,California,90045,West
BO-11425,Bobby Odegard,Consumer,Richmond,Kentucky,40475,South
BP-11050,Barry Pond,Corporate,Cranston,Rhode Island,2920,East
BP-11095,Bart Pistole,Corporate,Peoria,Illinois,61604,Central
BP-11155,Becky Pak,Consumer,Columbus,Georgia,31907,South
BP-11185,Ben Peterman,Corporate,Arvada,Colorado,80004,West
BP-11230,Benjamin Patterson,Consumer,Spokane,Washington,99207,West
BP-11290,Beth Paige,Consumer,Evanston,Illinois,60201,Central
BS-11365,Bill Shonely,Corporate,New York City,New York,10011,East
BS-11380,Bill Stewart,Corporate,Skokie,Illinois,60076,Central
BS-11590,Brendan Sweed,Corporate,Gilbert,Arizona,85234,West
BS-11665,Brian Stugart,Consumer,Philadelphia,Pennsylvania,19143,East
BS-11755,Bruce Stewart,Consumer,Denver,Colorado,80219,West
BS-11800,Bryan Spruell,Home Office,New York City,New York,10011,East
BT-11305,Beth Thompson,Home Office,Costa Mesa,California,92627,West
BT-11395,Bill Tyler,Corporate,Detroit,Michigan,48227,Central
BT-11440,Bobby Trafton,Consumer,Littleton,Colorado,80122,West
BT-11485,Brad Thomas,Home Office,Clinton,Maryland,20735,East
BT-11530,Bradley Talbott,Home Office,Los Angeles,California,90036,West
BT-11680,Brian Thompson,Consumer,Newark,Ohio,43055,East
BV-11245,Benjamin Venier,Corporate,Des Moines,Iowa,50315,Central
BW-11065,Barry Weirich,Consumer,Raleigh,North Carolina,27604,South
BW-11110,Bart Watters,Corporate,Milwaukee,Wisconsin,53209,Central
BW-11200,Ben Wallace,Consumer,Boynton Beach,Florida,33437,South
CA-11965,Carol Adams,Corporate,Hoover,Alabama,35244,South
CA-12055,Cathy Armstrong,Home Office,Houston,Texas,77070,Central
CA-12265,Christina Anderson,Consumer,Chicago,Illinois,60610,Central
CA-12310,Christine Abelman,Corporate,Cincinnati,Ohio,45231,East
CA-12775,Cynthia Arntzen,Consumer,Tampa,Florida,33614,South
CB-12025,Cassandra Brandow,Consumer,Hamilton,Ohio,45011,East
CB-12415,Christy Brittain,Consumer,Columbus,Ohio,43229,East
CB-12535,Claudia Bergmann,Corporate,Chapel Hill,North Carolina,27514,South
CC-12100,Chad Cunningham,Home Office,Columbus,Indiana,47201,Central
CC-12145,Charles Crestani,Consumer,Los Angeles,California,90004,West
CC-12220,Chris Cortes,Consumer,La Porte,Indiana,46350,Central
CC-12370,Christopher Conant,Consumer,Fayetteville,North Carolina,28314,South
CC-12430,Chuck Clark,Home Office,Columbus,Indiana,47201,Central
CC-12475,Cindy Chapman,Consumer,New York City,New York,10024,East
CC-12550,Clay Cheatham,Consumer,San Francisco,California,94122,West
CC-12610,Corey Catlett,Corporate,Philadelphia,Pennsylvania,19134,East
CC-12670,Craig Carreira,Consumer,New York City,New York,10009,East
CC-12685,Craig Carroll,Consumer,Greensboro,North Carolina,27405,South
CD-11920,Carlos Daly,Consumer,Lake Elsinore,California,92530,West
CD-11980,Carol Darley,Consumer,Tyler,Texas,75701,Central
CD-12280,Christina DeMoss,Consumer,Seattle,Washington,98105,West
CD-12790,Cynthia Delaney,Home Office,San Diego,California,92037,West
CG-12040,Catherine Glotzbach,Home Office,Philadelphia,Pennsylvania,19120,East
CG-12520,Claire Gute,Consumer,Henderson,Kentucky,42420,South
CH-12070,Cathy Hwang,Home Office,Raleigh,North Carolina,27604,South
CJ-11875,Carl Jackson,Corporate,Philadelphia,Pennsylvania,19140,East
CJ-12010,Caroline Jumper,Consumer,Huntington Beach,California,92646,West
CK-12205,Chloris Kastensmidt,Consumer,Philadelphia,Pennsylvania,19120,East
CK-12325,Christine Kargatis,Home Office,Orem,Utah,84057,West
CK-12595,Clytie Kelty,Consumer,Grove City,Ohio,43123,East
CK-12760,Cyma Kinney,Corporate,Linden,New Jersey,7036,East
CL-11890,Carl Ludwig,Consumer,Everett,Massachusetts,2149,East
CL-12565,Clay Ludtke,Consumer,Urbandale,Iowa,50322,Central
CL-12700,Craig Leslie,Home Office,Springfield,Missouri,65807,Central
CM-11815,Candace McMahon,Corporate,Pasadena,Texas,77506,Central
CM-11935,Carlos Meador,Consumer,Fayetteville,North Carolina,28314,South
CM-12115,Chad McGuire,Consumer,New York City,New York,10011,East
CM-12160,Charles McCrossin,Consumer,Brownsville,Texas,78521,Central
CM-12190,Charlotte Melton,Consumer,Philadelphia,Pennsylvania,19134,East
CM-12235,Chris McAfee,Consumer,Carrollton,Texas,75007,Central
CM-12385,Christopher Martinez,Consumer,Atlanta,Georgia,30318,South
CM-12445,Chuck Magee,Consumer,San Francisco,California,94122,West
CM-12655,Corinna Mitchell,Home Office,Los Angeles,California,90008,West
CM-12715,Craig Molinari,Corporate,Huntsville,Texas,77340,Central
CP-12085,Cathy Prescott,Corporate,Norwich,Connecticut,6360,East
CP-12340,Christine Phan,Corporate,New York City,New York,10009,East
CR-12580,Clay Rozendal,Home Office,Elmhurst,Illinois,60126,Central
